81001	0.8446638833607281+2.5652326123024077*^-14*I
82001	0.8451578770060388+1.7090917978805748*^-14*I
83001	0.8456384545031762+3.8351933250273483*^-13*I
84001	0.846106150180448-2.8249429723878155*^-13*I
85001	0.8465614705297867-2.4569170724650774*^-13*I
86001	0.8470048959640805+3.222176651975085*^-13*I
87001	0.8474368824943233-2.3844103249968627*^-13*I
88001	0.8478578632323351+1.4108348194540846*^-13*I
89001	0.8482682498107601+7.672514845135433*^-13*I
90001	0.8486684336900806+1.4743838704600626*^-14*I
91001	0.8490587873745121+9.500693270907117*^-14*I
92001	0.8494396655385126-3.2206064748317946*^-13*I
93001	0.8498114060788511-1.4039508128137786*^-13*I
94001	0.8501743310897719-3.648359719307213*^-14*I
95001	0.8505287477701425+1.918863314947208*^-14*I
96001	0.8508749492749682+5.2378458072854283*^-14*I
97001	0.851213215498533+1.7483782439093718*^-13*I
98001	0.8515438138236627+5.809878348337343*^-13*I
99001	0.8518669997990405+7.336872559663275*^-14*I
100001	0.8521830177905547+2.298706298952415*^-13*I
101001	0.8524921015839533-2.930392036047809*^-13*I
102001	0.8527944749444786+1.477373221373301*^-13*I
103001	0.853090352153831+9.271012934361172*^-13*I
104001	0.8533799384954123-6.275778686904968*^-13*I
105001	0.8536634307296206-2.0616951981145854*^-13*I
106001	0.8539410175238445+7.070567550965494*^-13*I
107001	0.8542128798667441+3.6752206399410317*^-13*I
108001	0.8544791914499003+6.562072937910742*^-14*I
109001	0.8547401190328878+2.675980220907093*^-13*I
110001	0.8549958227866749-9.60880955902407*^-14*I
111001	0.855246456608367+2.9232840886318696*^-13*I
112001	0.855492168430516+3.011332799642035*^-13*I
113001	0.8557331005048993-3.3000913856954355*^-13*I
114001	0.8559693896699745-9.319368091555826*^-14*I
115001	0.8562011676055473-8.367818208059783*^-14*I
116001	0.8564285610756691+1.5819292600047144*^-13*I
117001	0.85665169215182-2.8581112885734677*^-13*I
118001	0.8568706784280135-3.7131512905628303*^-13*I
119001	0.8570856332265948-4.774323833807398*^-14*I
120001	0.857296665783828+2.2653993406282537*^-13*I
121001	0.8575038814419309-2.0457552193044122*^-14*I
122001	0.8577073818065548-5.859167660311885*^-14*I
123001	0.8579072649244394-3.8867421531883196*^-13*I
124001	0.8581036254294774-1.8133496363012545*^-13*I
125001	0.8582965546903318+1.9814957390650067*^-14*I
126001	0.8584861409526815-9.482019095913242*^-13*I
127001	0.8586724694687289-6.670032640431598*^-14*I
128001	0.8588556226200478-9.077193355158722*^-14*I
129001	0.8590356800471437+8.172311452554499*^-14*I
130001	0.8592127187490217+1.693170231379356*^-13*I
131001	0.859386813199627+1.1736908853600255*^-12*I
132001	0.859558035455169+5.879714263341348*^-13*I
